rnc,year,week,region,netype,cpu_load,dsp_load,int_cpu_load,int_transload,iu_ps_interface_utilization,iub_throughput
RNCAC01,2017,46,CO,BSC6900UMTS,26.01,23.00,26.18,13.00,11.47,17.07
RNCAL01,2017,46,NE,BSC6900UMTS,38.19,44.00,34.06,36.00,17.62,17.17
RNCBA01,2017,46,BASE,BSC6900UMTS,30.01,51.15,34.99,24.00,17.77,17.09
RNCBA02,2017,46,BASE,BSC6900UMTS,20.74,41.25,30.16,27.00,13.30,17.36
RNCBA03,2017,46,BASE,BSC6900UMTS,32.44,35.64,33.47,17.00,8.93,6.70
RNCBA04,2017,46,BASE,BSC6900UMTS,43.86,23.65,17.14,40.00,23.19,10.21
RNCBA05,2017,46,BASE,BSC6910UMTS,15.44,12.28,12.05,24.00,11.11,4.05
RNCCE02,2017,46,NE,BSC6910UMTS,28.17,31.73,13.50,30.00,29.05,17.23
RNCDF02,2017,46,CO,BSC6900UMTS,11.53,2.00,23.76,0.00,0.13,0.07
RNCDF03,2017,46,CO,BSC6900UMTS,11.89,0.00,10.01,0.00,0.00,0.00
RNCDF04,2017,46,CO,BSC6910UMTS,20.67,16.42,16.00,38.00,26.07,6.13
RNCDF05,2017,46,CO,BSC6910UMTS,21.43,22.05,12.02,29.00,17.10,10.08
RNCES01,2017,46,ES,BSC6900UMTS,30.50,46.95,43.39,49.00,22.74,19.08
RNCGO04,2017,46,CO,BSC6910UMTS,18.46,15.47,17.95,34.00,28.71,6.21
RNCGO05,2017,46,CO,BSC6910UMTS,35.69,40.46,15.01,35.00,34.97,20.33
RNCMG01,2017,46,MG,BSC6900UMTS,27.11,41.00,30.15,24.00,10.54,9.70
RNCMG02,2017,46,MG,BSC6900UMTS,31.52,24.15,32.04,19.00,9.58,7.76
RNCMG03,2017,46,MG,BSC6900UMTS,28.03,40.95,31.85,23.00,15.08,22.88
RNCMG04,2017,46,MG,BSC6900UMTS,37.02,31.25,36.49,46.00,18.60,12.07
RNCMG05,2017,46,MG,BSC6900UMTS,33.25,53.95,33.83,48.00,18.02,18.88
RNCMG06,2017,46,MG,BSC6900UMTS,30.18,43.64,35.77,31.00,20.47,21.78
RNCMG07,2017,46,MG,BSC6900UMTS,23.34,29.92,28.85,18.00,16.77,6.27
RNCMG08,2017,46,MG,BSC6910UMTS,20.60,19.00,11.39,13.00,4.90,7.60
RNCMS03,2017,46,CO,BSC6910UMTS,17.34,13.02,13.00,42.00,21.20,4.52
RNCMT02,2017,46,CO,BSC6910UMTS,18.94,18.61,13.02,43.00,25.95,8.48
RNCPB01,2017,46,NE,BSC6900UMTS,37.98,49.64,40.04,42.00,20.44,20.42
RNCPE01,2017,46,NE,BSC6900UMTS,6.51,7.00,22.91,0.00,0.00,0.00
RNCPE04,2017,46,NE,BSC6910UMTS,22.22,20.01,15.91,34.00,29.01,9.20
RNCPI02,2017,46,NE,BSC6910UMTS,21.02,23.59,13.17,48.00,29.14,11.39
RNCPR01,2017,46,PRSC,BSC6900UMTS,20.73,36.92,31.32,39.00,6.70,10.97
RNCPR02,2017,46,PRSC,BSC6900UMTS,20.58,31.64,30.29,18.00,9.21,11.12
RNCPR03,2017,46,PRSC,BSC6900UMTS,31.08,47.10,19.01,11.00,12.06,34.42
RNCPR04,2017,46,PRSC,BSC6900UMTS,23.80,50.65,31.46,54.00,14.61,40.52
RNCPR05,2017,46,PRSC,BSC6900UMTS,24.24,48.49,30.22,46.00,10.64,29.31
RNCPR06,2017,46,PRSC,BSC6910UMTS,17.56,15.74,11.31,10.00,5.59,6.28
RNCRN01,2017,46,NE,BSC6900UMTS,41.38,47.49,26.14,38.00,14.46,17.29
RNCRO01,2017,46,CO,BSC6900UMTS,36.57,42.00,32.24,27.00,20.06,16.24
RNCRO02,2017,46,CO,BSC6900UMTS,50.89,42.00,23.30,27.00,20.79,20.23
RNCSC01,2017,46,PRSC,BSC6900UMTS,31.01,41.49,37.10,35.00,13.22,15.48
RNCSC02,2017,46,PRSC,BSC6900UMTS,27.46,48.15,35.27,32.00,14.97,10.32
RNCTO01,2017,46,CO,BSC6900UMTS,37.64,39.15,13.04,26.00,13.24,7.34
RNCTO02,2017,46,CO,BSC6910UMTS,23.62,32.13,12.23,21.00,14.33,15.65
